T04,International migrants and refugees,,,,,
Region/Country/Area,,Year,Series,Value,Footnotes,Source
17,Middle Africa,2015,International migrant stock: Both sexes (number),"3,479,911",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2015,International migrant stock: Both sexes (% total population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2015,International migrant stock: Male (% total Population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2015,International migrant stock: Female (% total Population),2.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2024,International migrant stock: Both sexes (number),"4,854,994",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2024,International migrant stock: Both sexes (% total population),2.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2024,International migrant stock: Male (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
17,Middle Africa,2024,International migrant stock: Female (% total Population),2.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2005,International migrant stock: Both sexes (number),"1,745,545",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2005,International migrant stock: Both sexes (% total population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2005,International migrant stock: Male (% total Population),3.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2005,International migrant stock: Female (% total Population),2.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2010,International migrant stock: Both sexes (number),"2,512,206",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2010,International migrant stock: Both sexes (% total population),4.2,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2010,International migrant stock: Male (% total Population),5.4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2010,International migrant stock: Female (% total Population),3.1,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2015,International migrant stock: Both sexes (number),"3,408,739",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2015,International migrant stock: Both sexes (% total population),5.3,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2015,International migrant stock: Male (% total Population),6.9,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2015,International migrant stock: Female (% total Population),3.8,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2024,International migrant stock: Both sexes (number),"2,911,844",,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2024,International migrant stock: Both sexes (% total population),4,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
18,Southern Africa,2024,International migrant stock: Male (% total Population),4.7,,"United Nations Population Division, New York, International migrant stock: The 2024 Revision, last accessed April 2025."
