Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Unit,Y1990,Y1991,Y1992,Y1993,Y1994,Y1995,Y1996,Y1997,Y1998,Y1999,Y2000,Y2001,Y2002,Y2003,Y2004,Y2005,Y2006,Y2007,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,Y2019,Y2020,Y2021,Y2022,Y2023
"5301","'143","Central Asia","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD",,,,,"0.114824","0.843495","0.002760","3.624274","65.649498","30.750205","27.076184","-71.006297","1408.561364","-350.298955","1045.335666","585.531311","1948.233207","3923.518443","5044.421680","6337.035198","7710.900446","3791.847613","1258.329268","1694.726635","3145.080823","799.505260","-7057.644619","1276.436563","-1063.389938","-3029.199866","-2603.087998","1695.688726","-1869.363678","901.985037"
"5302","'030","Eastern Asia","23082","Total FDI inflows","6110","Value US$","million USD","10950.541500","9421.880240","19519.392880","36414.266350","45005.073290","47833.445570","57084.290050","65425.725250","68866.822530","92104.530670","148419.257130","98105.653486","87098.225043","94046.008140","140722.447514","122073.703341","128808.360412","185285.901303","211170.804858","175573.359434","199817.205531","240585.357928","218986.706787","219474.238420","274123.974446","324285.799972","297118.008739","285365.100007","277151.142583","256409.522412","306888.796761","390925.101745","375269.040742","323662.146966"
"5302","'030","Eastern Asia","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","17786.790945","16654.462442","37603.067803","74520.616247","109674.316400","103036.834280","111222.353044","121483.545678","131593.055780","146163.700863","194054.511216","153738.469506","150992.762869","155793.649648","202753.031197","194517.234380","185055.488776","231769.162055","250251.598739","211830.388156","237994.432728","260102.455806","224731.700557","219918.906941","269156.569155","319488.952972","289425.704780","275920.324851","257186.463755","239910.908000","285379.654403","344896.848679","337769.334535","289072.303885"
"5302","'030","Eastern Asia","23085","Total FDI outflows","6110","Value US$","million USD","60429.104690","39022.496450","32900.945530","40080.520020","46787.990730","56481.832260","60868.986510","62616.677920","51467.804960","55095.698630","119366.386615","57872.983427","62097.818394","51547.523714","93403.388831","93941.119038","131721.920580","190694.617297","257559.954584","211614.961717","235234.702250","316201.765886","329754.313668","362804.117205","414132.891008","387304.964223","452810.153156","456134.580200","426801.362767","470908.119692","401643.171262","564903.518293","513999.025395","497095.963848"
"5302","'030","Eastern Asia","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD","64696.375321","40842.084508","39310.639052","45025.245532","46620.569805","51822.068127","56115.728834","57817.379442","52255.310571","51333.677109","109678.410277","60998.234644","63408.626216","49632.218206","100990.489830","103709.846413","151696.315518","208071.498243","263585.458565","224941.852836","250643.552793","296293.516223","295303.925565","341869.061534","394749.133265","376559.769223","433849.651331","431434.913915","383182.948096","429192.494819","365321.930493","496304.915560","484521.276656","463184.648251"
"5303","'034","Southern Asia","23082","Total FDI inflows","6110","Value US$","million USD","212.801330","446.939120","754.381970","1354.268130","1949.959490","2816.345380","3379.970250","5413.610900","3926.570700","3249.482340","3570.632010","3690.861697","3750.659536","4443.156754","7592.310601","9897.724382","17717.935608","28665.691790","32131.201602","29382.887748","22283.901246","31981.535320","26853.806670","23667.242387","32238.554310","43310.972649","45998.485224","49106.014107","48849.707866","58531.043374","66625.481470","66722.234540","57393.374740","35973.561500"
"5303","'034","Southern Asia","23082","Total FDI inflows","6184","Value US$, 2015 prices","million USD","346.576919","846.331120","1376.707771","2520.689414","3443.425824","4618.062652","5663.183098","8885.518161","6695.174754","5638.404479","6534.616772","6591.956911","6818.942238","7911.004378","12097.457799","14577.935498","23795.383508","33349.518304","35922.034997","32401.096627","21390.964690","28141.413222","24447.331011","22601.469699","31494.892995","43310.972649","46367.263265","46473.483490","48034.567112","57421.963017","65214.904948","60297.677924","51302.638733","33972.067669"
"5303","'034","Southern Asia","23085","Total FDI outflows","6110","Value US$","million USD","65.316000","7.892000","44.416000","-127.084360","100.761000","128.553670","345.544890","177.199620","176.388160","318.861960","734.993000","1082.601000","1856.651000","1221.804000","1947.573000","5551.364000","14188.045000","19262.571000","17100.233960","16273.984970","18680.230970","11771.355860","12509.135750","13800.544650","12023.369870","7817.758490","5519.816080","11493.308720","11630.419080","13275.219900","11205.962540","17716.094120","15942.331660","13523.564090"
"5303","'034","Southern Asia","23085","Total FDI outflows","6184","Value US$, 2015 prices","million USD","118.622019","19.232246","81.570571","-214.936558","176.094101","212.041534","583.890798","309.415648","323.185892","609.991725","1269.127679","1918.088466","3227.559171","1864.591650","2894.338620","7564.026385","18251.505576","21149.188711","18058.525374","17878.813519","17524.585095","10333.160514","11316.261100","13309.184949","11709.905793","7817.758490","5594.306879","10871.962602","11161.989629","12790.031601","10849.799044","15818.644074","14359.500355","12277.964679"
"5304","'035","South-eastern Asia","23082","Total FDI inflows","6110","Value US$","million USD","12820.849110","13639.284720","12739.083570","16585.338140","20495.894490","28632.370530","32915.170710","35939.679620","20925.620740","31011.316100","42795.059610","42437.611850","27573.238212","44163.442614","37243.063695","48844.541003","64881.649469","79340.648331","50214.318457","45674.793915","127175.339603","92984.816572","121732.548494","122533.129896","137238.293518","125412.161042","117041.287439","157626.904624","148966.483229","166552.618229","118691.975833","213665.764639","226803.780282","226316.872849"
